Date,Closing,Open,High,Low
16-May-14,182.5,192.25,192.25,183.4
19-May-14,183.88,186.25,187.6,183.05
20-May-14,185.7,183.9,186.4,180.05
21-May-14,181.4,185.3,186.25,180.85
22-May-14,181.35,181,183.25,176.7
23-May-14,181.9,181.5,184.25,180.5
27-May-14,179.35,181.5,182.55,177.75
28-May-14,176.15,178.75,179.25,170.8
29-May-14,181.95,176.9,182.95,176.8
30-May-14,177.5,180.9,181.25,174.65
2-Jun-14,172.35,177.25,179.35,172.15
3-Jun-14,171.15,172.05,174.35,167.35
4-Jun-14,170.2,171,171.75,167.35
5-Jun-14,169.15,169,171,168
6-Jun-14,172.1,168.6,173.8,168.25
9-Jun-14,165.35,171.95,171.95,165.1
10-Jun-14,165.65,165.35,167.85,165.1
11-Jun-14,171.6,166.6,173.5,166.15
12-Jun-14,171.95,171.6,173.3,168.15
13-Jun-14,173.7,171.95,179.7,171.6
16-Jun-14,172.95,173.65,176.7,172.1
17-Jun-14,169.05,172.5,172.8,166.7
18-Jun-14,166.75,169.2,170.5,166
19-Jun-14,167,167.25,168.6,163.1
20-Jun-14,173.25,168.25,175.8,168.05
23-Jun-14,175.1,173,175.85,173
24-Jun-14,174.15,174.85,175.3,171
25-Jun-14,179.95,173.55,179.5,173.55
26-Jun-14,178.8,178.6,179.2,177.7
27-Jun-14,170.45,180.5,182.5,169.9
30-Jun-14,173,172.55,172.75,168.65
1-Jul-14,168.3,172.25,172.25,168.2
2-Jul-14,171.05,169.5,169.5,169.5
3-Jul-14,169.4,172,172,172
6-Jul-14,172.02,172.02,172.02,172.02
7-Jul-14,169,170.3,170.3,165
8-Jul-14,170.2,169.5,169.5,169
9-Jul-14,172.98,173.15,174.82,171.52
10-Jul-14,160.25,166.9,166.9,160.85
11-Jul-14,158.95,160,160,157.8
14-Jul-14,164.52,161.23,164.75,161.1
15-Jul-14,162.52,164.27,164.32,159.48
16-Jul-14,162.55,162.63,163.38,161.6
17-Jul-14,164.2,162.38,165.4,161.23
18-Jul-14,170.7,163.8,164.95,163.8
21-Jul-14,172.2,171.5,173.77,168.75
22-Jul-14,168.3,172,173.6,166.6
23-Jul-14,176.6,168.5,178.6,166.95
24-Jul-14,178.3,175.8,180.5,175.7
25-Jul-14,179.15,178,181.2,176.6
28-Jul-14,181.1,179.8,183.4,178
29-Jul-14,180.7,181.15,182.2,178.4
30-Jul-14,182.5,180.2,183.2,179.75
31-Jul-14,195.05,183.4,196.4,183.35
1-Aug-14,192.35,194.85,207.4,191.6
3-Aug-14,192.13,192.13,192.13,192.13
4-Aug-14,190.5,192.05,195.45,183.3
5-Aug-14,189.4,190.45,195.15,187.35
6-Aug-14,190.85,189,192.5,185.95
7-Aug-14,184,191.35,191.45,183.7
